City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Buctzotz,MX,21.20,-88.78,74.12,95,100,3.25,overcast clouds
176,Sur,OM,22.57,59.53,84.60,64,3,6.65,clear sky
177,Puerto Carreno,CO,6.19,-67.49,89.58,58,40,2.06,scattered clouds
178,Batticaloa,LK,7.71,81.69,81.61,70,90,1.58,overcast clouds
179,Hithadhoo,MV,-0.60,73.08,83.68,71,75,4.62,broken clouds
180,Mersing,MY,2.43,103.84,76.91,94,40,2.06,scattered clouds
181,Lebu,CL,-37.62,-73.65,48.99,54,52,1.46,broken clouds
182,Beringovskiy,RU,63.05,179.32,38.46,85,21,1.0,few clouds
183,Beipiao,CN,41.79,120.78,64.72,36,5,1.67,clear sky
184,Biloela,AU,-24.42,150.50,55.81,49,100,4.45,light rain
185,Nhulunbuy,AU,-12.23,136.77,77.61,83,19,3.6,few clouds
186,Lakes Entrance,AU,-37.88,147.98,48.88,90,17,4.84,few clouds
187,Airai,TL,-8.93,125.41,58.71,90,43,0.82,scattered clouds
188,Tabou,CI,4.42,-7.35,78.91,83,100,2.41,overcast clouds
189,Yaan,NG,7.38,8.57,81.36,64,58,2.61,light rain
190,Miri,MY,4.41,114.01,80.74,89,40,3.6,scattered clouds
191,Terre Haute,US,39.47,-87.41,82.22,66,99,4.5,overcast clouds
192,Kirkland Lake,CA,48.14,-80.04,73.69,46,90,4.83,overcast clouds
193,Catarama,EC,-1.58,-79.47,87.03,57,24,1.49,few clouds
194,Bairiki,KI,1.33,172.98,80.60,83,75,2.57,broken clouds
195,Pahrump,US,36.21,-115.98,85.24,9,0,3.58,clear sky
196,Honningsvag,NO,70.98,25.97,49.75,76,2,1.54,clear sky
197,Goderich,CA,43.75,-81.72,61.12,72,96,4.63,overcast clouds
198,East London,ZA,-33.02,27.91,56.34,58,0,4.63,clear sky
199,Saint-Philippe,RE,-21.36,55.77,71.19,79,88,6.32,light rain
200,Aklavik,CA,68.22,-135.01,46.40,66,75,6.17,broken clouds
201,Kirakira,SB,-10.45,161.92,77.22,83,100,2.11,overcast clouds
202,Vidim,RU,56.41,103.11,54.46,57,100,1.64,overcast clouds
